Key,English,Indonesian
PROPQUEST_SCENARIO_INC_000321,Thanks for listening to me anyway. I understand if you are unwilling to risk your life.,Terima kasih telah mendengarkanku. Aku paham jika kamu tidak ingin membahayakan nyawamu.
PROPQUEST_SCENARIO_INC_000322,Hmm... This is exactly what I expected. I will study these some more but before you go please...,"Hmm.. Aku sudah menduga ini. Akan coba kupelajari ini lagi, tapi sebelum kamu pergi tolong.."
PROPQUEST_SCENARIO_INC_000323,"...you should be very, very careful. I am almost sure that the assassins that tried to kill me will come after you.","..kamu harus sangat, sangat berhati-hati. Aku sangat yakin assassin yang mencoba membunuhku akan datang padamu juga."
PROPQUEST_SCENARIO_INC_000324,"Please bring me 5 rocks from each continent - Flaris, Darkon, and Saint Morning. Good luck!","Tolong bawakan aku 5 batu dari masing-masing Continent - Flaris, Darkon, dan Saint Morning. Semoga beruntung!"
PROPQUEST_SCENARIO_INC_000325,There are ancient altars on each continent. Please bring me 5 rocks from each contient.,Ada altar kuno di setiap benua. Tolong bawakan Aku 5 batu dari setiap benua.
PROPQUEST_SCENARIO_INC_000327,Plot Begins,Plot Begins
PROPQUEST_SCENARIO_INC_000328,"This is evidence that the continents were once one land mass. I am trusting you with this information because, well...",Ini adalah bukti bahwa benua pernah menjadi satu daratan. Aku mempercayaimu dengan informasi ini karena...
PROPQUEST_SCENARIO_INC_000329,...we are in the same boat now. We are in danger together. Would you go through with me to the end?,..kita berada di situasi yang sama sekarang. Kita sama-sama dalam bahaya. Maukah kamu melewati ini bersamaku sampai akhir?
PROPQUEST_SCENARIO_INC_000330,Okay. Now please deliver this to Gothante. He is the chairman of the History Society in Saint City. Do not forget to be aware of the assasins.,Oke. Sekarang tolong kirimkan ini ke Gothante. Dia adalah Chairman dari History Society di Saint City. Jangan lupa untuk mewaspadai para assassin.
PROPQUEST_SCENARIO_INC_000331,"I do not want to force you, but never forget that you are in danger.","Aku tidak ingin memaksamu, jangan pernah lupa kalau kamu dalam bahaya."
PROPQUEST_SCENARIO_INC_000332,This... This is... Bubble protect us. Martinyc has finally crossed the line. It is about time.,Ini... Ini... Bubble lindungi kami. Martinyc akhirnya melewati batas. Ini sudah waktunya.
PROPQUEST_SCENARIO_INC_000333,Thank you very much. Take this letter of recommendation and visit Hachal in Darkon 1.,Terima kasih banyak. Ambil surat rekomendasi ini dan kunjungi Hachal di Darkon 1.
PROPQUEST_SCENARIO_INC_000334,I am sure he can help you. Take care!,Aku yakin dia bisa menolongmu. Hati-hati!
PROPQUEST_SCENARIO_INC_000335,Do you want to know about the true history of Madrigal? Then I am the man to talk to.,Apakah Kamu ingin tahu sejarah Madrigal yang sebenarnya? Kamu bertanya dengan orang yang tepat.
PROPQUEST_SCENARIO_INC_000336,"Deliver this to Gothante, he is the Chairman of the History Society in Saint City.","Serahkan ini ke Gothante, Dia adalah Chairman dari History Society di Saint City."
PROPQUEST_SCENARIO_INC_000338,Chapter 1 The Field of Bubble,Bab 1 - Field of Bubble
PROPQUEST_SCENARIO_INC_000339,Hmm? Did Gothante tell you to visit me? Why?,Hmm? Apa Gothante menuruhmu untuk menemuiku? Ada apa?
PROPQUEST_SCENARIO_INC_000340,"Oh, I see. Iblis watch over me, what is this information!? Who could have dug up this much of the past? Only one person?","Oh aku mengerti. Iblis mengawasiku, informasi apa ini!?Siapa yang bisa menggali masa lalu sebanyak ini?Hanya satu orang?"
PROPQUEST_SCENARIO_INC_000341,Martinyc of course. She has finally done what we all knew she would. She does not fear death like she should. The young are too fearless these days.,Martinyc. Dia akhirnya melakukan apa yang kita semua tahu dia akan melakukannya. Dia tidak takut mati seperti yang seharusnya. Para anak muda terlalu tak kenal takut akhir-akhir ini.
PROPQUEST_SCENARIO_INC_000342,Aw well we all knew that the true history of Madrigal would be discovered eventually. And we all knew that Martinyc would be the one to uncover it.,yah... Kita semua tahu kalau Sejarah yang sebenarnya dari Madrigal akan terbongkar juga suatu hari nanti. Dan sekarang kita semua tahu kalau Matinyclah yang akan membongkarnya.
PROPQUEST_SCENARIO_INC_000343,By the way... Are you going to continue with this?,Omong-omong... Apakah kamu akan melanjutkan ini?
PROPQUEST_SCENARIO_INC_000344,Good. We will go to the Field of Bubble. There is more evidence to be found there. Hurry.,Bagus. Kita akan pergi ke Field of Bubble. Ada banyak bukti yang bisa ditemukan di sana. Cepat.
PROPQUEST_SCENARIO_INC_000345,"What? No, you cannot stop now. You have come so far.","Apa? Tidak, kamu tidak boleh berhenti sekarang. Kamu telah sampai sejauh ini."
PROPQUEST_SCENARIO_INC_000346,Ahhh you are here finally. Give me the data and letter of recommendation.,"Ahhh, kamu akhirnya sampai disini. Beri aku data dan Letter of Recommendation."
PROPQUEST_SCENARIO_INC_000347,This place is very strange... Hmm... Field of Bubble... What do you think about it?,Tempat ini sangat aneh....hmm... Field Bubble... Bagaimana menurutmu?
PROPQUEST_SCENARIO_INC_000348,"You know the Field of Bubble, right? I think we can find some evidence there. Lets go! Hurry up!",Kamu tahu Field Bubble kan? Aku rasa kita bisa menemukan beberapa bukti disana. Ayo cepat!
PROPQUEST_SCENARIO_INC_000350,Chapter 1: Field of Bubble: The Strange Pattern,Chapter 1: Field of Bubble: The Strange Pattern
PROPQUEST_SCENARIO_INC_000351,Before you showed up I took a look around and found something strange to the North. The ground was dug up and...,"Sebelum kamu muncul, aku melihat-lihat sekitar dan menemukan sesuatu yang aneh di utara. Ada bekas galian ditanah dan..."
PROPQUEST_SCENARIO_INC_000352,...it looked like some kind of pattern. I could get a close look at it because it was surrounded .,..itu tampak seperti semacam pola. Aku bisa melihatnya dari dekat karena dikelilingi
PROPQUEST_SCENARIO_INC_000353,Strange fellows were hanging around there. I think they were defending something. There was no way I could have fought them off.,Orang-orang aneh berkeliaran di sana. Aku pikir mereka menjaga sesuatu. Tidak mungkin aku bisa melawan mereka.
PROPQUEST_SCENARIO_INC_000354,Would you check? I am sure they are no match for you.,Maukah kamu memeriksanya? Aku yakin mereka bukanlah tandinganmu.
PROPQUEST_SCENARIO_INC_000355,Great! I am sure that there is something to that pattern. Check it closely and bring me what you find.,Bagus! Aku yakin ada sesuatu dengan pola itu. Periksa dengan cermat dan bawakan apa yang kamu temukan.
PROPQUEST_SCENARIO_INC_000356,Are you really ready to give up? I cannot force you but think about the future.,"Apa kamu yakin akan menyerah? Aku tidak bisa memaksamu, tapi cobalah pikirkan kedepannya."
PROPQUEST_SCENARIO_INC_000357,Oh! This! The legend is... Martinyc was right! Oh... What should we do now... Iblis watch over me!,Oh! Ini! Legenda itu..! Martinyc benar!.. Oh.. Apa yang harus kita lakukan sekarang.. Iblis mengawasiku!
PROPQUEST_SCENARIO_INC_000358,Were those fellows too strong for you? Bring more people with you and continue checking. I am not strong enough to help you with them.,Apa mereka terlalu kuat untukmu? Bawa lebih banyak orang bersamamu dan lanjutkna pemeriksaan. Aku tidak cukup kuat untuk membantumu melawan mereka.
PROPQUEST_SCENARIO_INC_000359,I am sure we can find out something by checking the pattern. Please check it carefully and bring me whatever you get.,Aku yakin kita bisa menemukan sesuatu jika memeriksa pola itu. Tolong periksa dengan seksama dan beritahu aku apapun yang dapat kamu temukan.
PROPQUEST_SCENARIO_INC_000361,Chapter 1: Field of Bubble: The Violet Magician Troupe,Chapter 1: Field of Bubble: The Violet Magician Troupe
PROPQUEST_SCENARIO_INC_000362,Hmm... I checked the cloth piece you brought me. It seems like the pattern on the cloth piece is the same as the one I saw on the ground.,Hmm.. Aku memeriksa potongan kain yang kau berikan. Sepertinya pola pada potongan kain itu sama dengan yang kulihat di tanah.
PROPQUEST_SCENARIO_INC_000363,"However, there is a mystrious power in this cloth piece. I will check it out some more. By the way, have you ever heard of the Magic Troupe in Purple? I found out about them by chance.","Namun, ada kekuatan misterius dalam potongan kain ini. Aku akan coba memeriksanya lagi. Omong-omong, apakah kamu pernah mendengar tentang Magic Troupe in Purple? Aku mengetahui tentang mereka secara kebetulan."
PROPQUEST_SCENARIO_INC_000364,"I do not know the details, but I know that this group has something to do with the secrets of Madrigal.","Aku tidak tahu detailnya, tapi aku merasa kalau grup ini ada kaitannya dengan dengan rahasia dari Madrigal."
PROPQUEST_SCENARIO_INC_000365,I think we need more information about this Troupe. How about helping me once more? Would you do that for me?,Aku rasa kita membutuhkan lebih banyak informasi tentang ini. Bagaimana jika membantuku sekali lagi? Bisakah?
PROPQUEST_SCENARIO_INC_000366,Great! Please gather information about the Troupe and its members. You will have to fight them to get any information out of them.,Bagus! Tolong kumpulkan lebih banyak Informasi tentang kelompok itu beserta anggotanya. Kamu mungkin harus bertarung dengan beberapa dari mereka untuk mendapatkan infromasinya.
PROPQUEST_SCENARIO_INC_000367,You are afraid of them? I can hardly believe that. Ha ha ha.,Kamu takut dengan mereka? Rasanya susah mempercayai itu. Ha ha ha.
PROPQUEST_SCENARIO_INC_000368,Hmm... That was exactly what I thought... Now go back and take a rest. But please visit me again later. Thank you very much.,"Hmm.. Tepat seperti yang kupikirkan.. Terima kasih banyak. Kembalilah dan beristirahat, dan temui aku lagi nanti."
PROPQUEST_SCENARIO_INC_000369,Was it too much for you? Ah...but we need information about them.,Apa itu terlalu berat untukmu? Ah...tapi kita butuh informasi tentang mereka.
PROPQUEST_SCENARIO_INC_000370,Fight them to get information from them. I will meet you in Darken.,Lawan mereka untuk mendapatkan informasi dari mereka. Aku akan menemuimu di Darken.
PROPQUEST_SCENARIO_INC_000372,Chapter 2 Hill of Shade,Bab 2 - Hill of Shade
PROPQUEST_SCENARIO_INC_000373,Hey! Great timing! I have just found out about something very interesting.,Hai! Waktu yang tepat! Aku baru saja menemukan sesuatu yang sangat menarik.
PROPQUEST_SCENARIO_INC_000374,"Do you know what this is? Well, I am sure you do not but I will tell you.","Apa kamu tahu apa ini? Aku yakin tidak, biarkan aku menjelaskannya padamu."
PROPQUEST_SCENARIO_INC_000375,This is an entire picture of the pattern we found. I found it in one of my books but it was the only picture I could find.,Ini adalah keseluruhan dari gambar pola yang kita temukan. Aku menemukannya di salah satu bukuku dan merupakan satu-satunya gambar yang aku dapatkan.
PROPQUEST_SCENARIO_INC_000376,I need your help once again. Would you do ma a favor?,Aku butuh bantuanmu sekali lagi. Maukah kamu membantuku?
PROPQUEST_SCENARIO_INC_000377,Take this picture. Please deliver it to Rovanett in the National Library in Saint City. You can find her at Saint Hall.,Ambil gambar ini dan berikan ke Rovanett yang berada di National Library di Saint City. Kamu dapat menemuinya di Saint Hall.
PROPQUEST_SCENARIO_INC_000378,Hey we are in this together. We are all in the same boat. You would do better to help me You know that.,Hei kita bersama-sama dalam hal ini. Kita semua berada di kapal yang sama. Lebih baik kamu bantu aku.
PROPQUEST_SCENARIO_INC_000379,Hmm... Is this what Hachal said? Good job. Thank you very much. Let me check.,Hmm.. Apakah ini yang dikatakan Hachal? Kerja bagus. Terima kasih banyak. Biar kuperiksa.
PROPQUEST_SCENARIO_INC_000380,History is always more interesting than current events but this is especially mysterious.,"Sejarah selalu lebih menarik daripada peristiwa terkini, tetapi ini sangat misterius."
PROPQUEST_SCENARIO_INC_000381,Here. Take this picture. Please deliver it to Rovanett who is working in the National Library in Saint City. You can find her in Saint Hall.,Ambil gambar ini dan berikan ke Rovanett yang bekerja di National Library di Saint City. Kamu dapat menemuinya di Saint Hall.
PROPQUEST_SCENARIO_INC_000383,Chapter 2 Hill of Shade: The Great Troupe Leader.,Chapter 2 Hill of Shade: The Great Troupe Leader.
PROPQUEST_SCENARIO_INC_000384,Oh your story about the pattern reminds me of something I read in one of the ancient texts.,"Oh, ceritamu tentang pola itu mengingatkanku akan sesuatu yang pernah kubaca di salah satu teks kuno."
PROPQUEST_SCENARIO_INC_000385,Do you know the Hill of Shade? I found it in one of my books but have only dared to venture there once.,Apa kamu tahu Hill of Shade? Aku menemukannya di salah satu bukuku tetapi hanya berani menjelajah ke sana sekali.
PROPQUEST_SCENARIO_INC_000386,There is a pattern similar to the one that you saw in the Field of Bubble. Or maybe it was exactly the same. If those two patterns are the same...,Ada pola yang mirip dengan yang kau lihat di field of Bubble. Bahkan mungkin persis sama. Jika kedua pola itu sama..
PROPQUEST_SCENARIO_INC_000387,...maybe you can also find a cloth piece over there. Would you please go and check?,..mungkin kamu juga dapat menemukan sepotong kain di sana. Maukah kamu pergi dan memeriksanya?
PROPQUEST_SCENARIO_INC_000388,Thank you. Please check around for the pattern in the Hill of Shade. Oh! Please be careful because there is something very fierce over there!,"Terima kasih, Tolong periksa dengan seksama pola yang ada di Hill of Shade. Oh! Harap berhati-hati karena ada sesuatu yang sangat ganas di sana!"
PROPQUEST_SCENARIO_INC_000389,I understand but if you ever get the chance would you please check?,"Aku mengerti, tapi jika kamu sempat, maukah kamu memeriksanya?"
PROPQUEST_SCENARIO_INC_000390,"Iblis above, you look terrible. I appreciate your hard work. You did exceptional work. Let me compare the two cloth pieces.","Iblis di atas, kau terlihat mengerikan. Aku menghargai kerja kerasmu. Kamu melakukan pekerjaan yang luar biasa. Biar kucoba membandingkan dua kain itu."
PROPQUEST_SCENARIO_INC_000391,Maybe the monster I mentioned earlier was too much for you to handle? You can try again if you wish or not up to you.,Mungkin monster yang aku sebutkan sebelumnya terlalu berat untuk kamu tangani? Kau dapat mencobanya lagi jika mau.
PROPQUEST_SCENARIO_INC_000392,Please check around for the pattern in the Hill of Shade. Oh! Please be careful because there is something very fierce over there!,Tolong cari disekitar di Hill of Shade. Oh! Harap berhati-hati karena ada sesuatu yang sangat ganas di sana!
PROPQUEST_SCENARIO_INC_000394,Chapter 2 Hill of Shade: History of Hardship,Chapter 2 Hill of Shade: History of Hardship
PROPQUEST_SCENARIO_INC_000395,I finished checking the data that Hachal provided. Please deliver this to Hachal.,Aku selesai memeriksa data yang diberikan Hachal. Tolong kirimkan ini ke Dia.
PROPQUEST_SCENARIO_INC_000396,I hope you will continue to be as lucky as you have been.,Aku harap Kamu akan terus beruntung seperti ini seterusnya.
PROPQUEST_SCENARIO_INC_000397,If not you then who? No one can take this job!,Kalau bukan kamu lalu siapa? Tak ada lagi yang dapat menyelesaikan pekerjaan ini!
PROPQUEST_SCENARIO_INC_000398,Hmm... History of Hardship. So did he give this to you? Excellent. If he says this will be useful then I am sure it will.,Hmm.. History of Hardship. Jadi dia memberikan ini padamu? Bagus sekali. Jika dia mengatakan ini akan berguna maka aku yakin itu akan berguna.
PROPQUEST_SCENARIO_INC_000399,See you later. Take care.,Sampai ketemu lagi. Jaga dirimu.
PROPQUEST_SCENARIO_INC_000400,Did Rovanett say anything? That makes no sense. Please visit her again. She must have something to say to you.,Apakah Rovanett mengatakan sesuatu? Itu tidak masuk akal. Tolong temui dia lagi. Dia pasti memiliki sesuatu untuk dikatakan padamu.
PROPQUEST_SCENARIO_INC_000401,I finished checking the data which Hachal requested. Please deliver this to Hachal.,Aku selesai memeriksa data yang diminta Hachal. Tolong kirimkan ini ke Dia.
PROPQUEST_SCENARIO_INC_000403,Chapter 3 Purple Magician,Bab 3 - Purple Magician
PROPQUEST_SCENARIO_INC_000404,Hey. It seems like the altar and Magic Troupe have something to do with...,"Hei, sepertinya Altar and Magic Troupe ada kaitannya dengan.."
PROPQUEST_SCENARIO_INC_000405,...the Purple Magician in this book. History of Hardship. Only it says that the Black Magician and the Magician in Purple are the same person. The same person that fought alongside the heroes in the Hero Wars. That does not make sense.,..The Purple Magician dalam buku ini. History of Hardship. Disana dikatakan jika The Black Magician dan The purple Magician adalah orang yang sama. Orang yang sama yang bertarung bersama para Hero dalam Hero Wars. Tidak masuk akal.
PROPQUEST_SCENARIO_INC_000406,"It is something really unbelievable, but it is also something we should believe.","Itu adalah sesuatu yang benar-benar tidak dapat dipercaya, tetapi juga sesuatu yang harus kita percayai."
PROPQUEST_SCENARIO_INC_000407,I think this is the best I can do for now but I will never stop looking for the truth.,"Aku rasa ini adalah yang terbaik yang bisa kulakukan untuk saat ini, tapi aku tidak akan pernah berhenti mencari kebenaran."
PROPQUEST_SCENARIO_INC_000408,You! I want you to show this to someone. Can you do that right now?,Kamu! Aku ingin Kamu menunjukkan ini kepada seseorang. Bisakah Kamu melakukannya sekarang?
PROPQUEST_SCENARIO_INC_000409,Yes! Please deliver this to Gothante in Saint City. He is he head of the History Society.,Ya! Tolong kirimkan ini ke Gothante di Saint City. Dia adalah kepala di History Society.
PROPQUEST_SCENARIO_INC_000410,I understand that you have other things to do. But this is very important. Come back soon.,Aku paham kamu memiliki hal lain untuk dilakukan. Tapi ini sangatlah penting. Kembalilah segera.
PROPQUEST_SCENARIO_INC_000411,Hey! Long time no see! Did you meet Hachal? What is this?,Hai! Lama tidak bertemu! Apa Kau bertemu Hachal? Apa ini?
PROPQUEST_SCENARIO_INC_000412,Oh... Bubble protect us! Is this true? Oh... Oh... This is too big to deal with alone.,"Oh.. Bubble, lindungi kami! Apa ini benar? Oh.. Oh.. Ini terlalu besar untuk dihadapi sendirian."
PROPQUEST_SCENARIO_INC_000413,"I am really glad to see you again, but did Hachal tell you to meet me? For what?","Aku sangat senang bertemu denganmu lagi, tapi apakah Hachal menyuruhmu bertemu denganku? Untuk apa?"
PROPQUEST_SCENARIO_INC_000414,Please deliver this to Gothante in Saint City.,Tolong kirimkan ini ke Gothante di Saint City.
PROPQUEST_SCENARIO_INC_000416,Chapter 3 Purple Magician: The Secret of the Altar,Chapter 3 Purple Magician: The Secret of the Altar
PROPQUEST_SCENARIO_INC_000417,Hmm... I have some good theories but we are going to need more information about the altar and the Magic Troupe.,Hmm.. Aku punya beberapa teori bagus tapi kita akan membutuhkan lebih banyak informasi tentang Altar dan The Magic Troupe.
PROPQUEST_SCENARIO_INC_000418,I think there is something in the altar. I have a strong feeling that we could find something there if we look closely enough.,Aku pikir ada sesuatu di altar. Aku memiliki firasat kuat kalau kita dapat menemukan sesuatu di sana jika kita memeriksa lebih dekat.
PROPQUEST_SCENARIO_INC_000419,Listen. This is very important. Just stick with this until the end. Would you?,Dengarkan. Ini sangat penting. Kamu akan melakukannya sampai akhirkan?
PROPQUEST_SCENARIO_INC_000420,Please check the altar until you can find some evidence.,Tolong periksa Altar sampai kamu bisa menemukan beberapa bukti.
PROPQUEST_SCENARIO_INC_000421,"What could be more important than this? Oh fine, just go.","Memangnya ada yang lebih penting dari ini? Baiklah, pergi saja."
PROPQUEST_SCENARIO_INC_000422,Hmm... Everything is written in an ancient language. But we can translate it. Thanks.,Hmm.. Semuanya tertulis dalam bahasa Kuno. Untungnya kita dapat menerjemahkannya. Terima kasih.
PROPQUEST_SCENARIO_INC_000423,Please come back to me after the translation is over. Let me bring this book to the translator.,Biarkan aku yang membawa buku ini ke penerjemah. Kembalilah lagi nanti saat selesai.
PROPQUEST_SCENARIO_INC_000424,"You can check all of the 3 altars, bring any evidence you find at any of them.",Kamu bisa memeriksa ketiga Altar itu dan bawa bukti apapun yang kamu temukan disana.
PROPQUEST_SCENARIO_INC_000425,Please check the altar until you find out something of importance.,Tolong periksa altar sampai Kamu menemukan sesuatu yang penting.
PROPQUEST_SCENARIO_INC_000427,Chapter 3 Purple Magician: A Mysterious Bead.,Chapter 3 Purple Magician: A Mysterious Bead.
PROPQUEST_SCENARIO_INC_000428,I have finished translating the book. The Purple Magician and the Black Magician are the same person! Just as Hachal said!,Aku telah selesai menerjemahkan bukunya. The Purple Magician dan The Black Magician ternyata orang yang sama! Tepat seperti perkataan Hachal!
PROPQUEST_SCENARIO_INC_000429,It looks like the purple altar was made by the Magician in Purple for some kind of religious service.,Sepertinya Altar ungu dibuat oleh The Purple Magician untuk semacam kegiatan keagamaan.
PROPQUEST_SCENARIO_INC_000430,It seems that they were attempting to transcend to a better existence but how?,"Sepertinya mereka berusaha berubah menjadi lebih kuat, namun bagaimana caranya?"
PROPQUEST_SCENARIO_INC_000431,"As always, I have a few good theories but I need more data. Always more data! I want answers now!","Seperti biasa, aku punya beberapa teori, tapi aku butuh lebih banyak data. Selalu kekuraangan data! Aku ingin jawabannya sekarang!"
PROPQUEST_SCENARIO_INC_000432,"Would you help me again? I can see the curiosity in your eyes, same as mine. Am I right?","Maukah Kamu membantuku lagi? Aku bisa melihat rasa ingin tahu di matamu, sama sepertiku. Benarkan?"
PROPQUEST_SCENARIO_INC_000433,Very well! Then please check the Field of Bubble and the Hill of Shade more carefully. I am really sure there is something over there!,Baiklah! Kalau begitu tolong cek Field of Bubble dan Hill of Shade lebih teliti. Aku sangat yakin ada sesuatu tertinggal disana!
PROPQUEST_SCENARIO_INC_000434,"Fine, return to me when you get the time.","Baik, Temui aku saat kau sedang senggang."
PROPQUEST_SCENARIO_INC_000435,Oh... What a strong magical power this bead has... Oh... What a surprise!,Hmm.. Semuanya tertulis dalam bahasa Kuno. Untungnya kita dapat menerjemahkannya. Terima kasih.
PROPQUEST_SCENARIO_INC_000436,"Good job...But something like this is completely out of my range. Let me think for a moment. Yes, I have it!","Kerja bagus. Tapi sesuatu seperti ini benar-benar diluar bidangku. Biarkan aku berpikir sejenak. Ya, aku memilikinya!"
PROPQUEST_SCENARIO_INC_000437,Please deliver this to the Great Magician Laola in Darkon 3.,Mohon serahkan ini ke Great Magician Laola di Darkon 3.
PROPQUEST_SCENARIO_INC_000438,I have a bad feeling about this. I have never been wrong about anything. I hope I am this time.,Aku punya firasat buruk tentang hal ini. Firasatku tidak pernah salah sebelumnya. Aku harap kali ini salah.
PROPQUEST_SCENARIO_INC_000439,"Please, once more, check the Field of Bubble and the Hill of Shade. I am sure that there is more to be found!",Tolong cek Field of Bubble dan Hill of Shade sekali lagi. Aku yakin masih ada sesuatu yang bisa ditemukan!
PROPQUEST_SCENARIO_INC_000441,Chapter 3 Purple Magician: The Great Magician Laola,Chapter 3 Purple Magician: The Great Magician Laola
PROPQUEST_SCENARIO_INC_000442,"Oh, you are here finally. I cannot say that your arrival is entirely a surprise. I am Laola the Great Magician *cough* *cough*.","Oh, akhirnya kamu di sini. Aku sama sekali tidak terkejut dengan kedatanganmu. Aku Laola The Great Magician *batuk* *batuk*."
PROPQUEST_SCENARIO_INC_000443,"I can see in your face that you do not believe me. I guess, looking at myself, I do not look like such a Great Magician.",Sepertinya kamu tidak mempercayaiku. Aku rasa penampilanku memang tidak seperti seorang Great Magician.
PROPQUEST_SCENARIO_INC_000444,Magic always has a high cost and I used some terrible magic back then.,Magic selalu meembutuhkan pengorbanan yang besar. Dulu aku pernah menggunakan Magic yang cukup mengerikan.
PROPQUEST_SCENARIO_INC_000445,"But never mind that, show me the bead you brought, I can feel its power from here.","Tapi sudahlah, tunjukkan padaku manik yang kau bawa, aku bisa merasakan kekuatannya dari sini."
PROPQUEST_SCENARIO_INC_000446,"Yes, this is it. I have to check this first, so please come back to me in a minute.","Ya, ini dia. Aku harus memeriksa ini dulu, jadi tolong kembali padaku nanti."
PROPQUEST_SCENARIO_INC_000447,"*cough* *cough* Hey, do not be too greedy. Something that powerful could corrupt you to your core. *cough* *cough*","*uhuk* *uhuk* Hei, jangan terlalu serakah. Sesuatu yang sekuat itu dapat merusakmu sampai ke inti. *uhuk* *uhuk*"
PROPQUEST_SCENARIO_INC_000448,"Hmmm I did not know he could make something like this, but I cannot say that I am surprised.","Hmmm Aku tidak tahu dia bisa membuat sesuatu seperti ini, tapi ini sama sekali tidak membuatku terkejut."
PROPQUEST_SCENARIO_INC_000449,"It is no secret why I am called the Great Magician. Though, I have learned that being a great magician, does not make you a great person. *cough*","Bukanlah rahasia mengapa aku disebut Great Magician. Tetapi, menjadi Great Magician tidak akan membuatmu menjadi orang yang hebat. *uhuk*"
PROPQUEST_SCENARIO_INC_000450,"This is it. I have to check this first, so please come back to me in a minute.","Ini dia. Aku harus memeriksa ini dulu, jadi tolong kembali padaku nanti."
PROPQUEST_SCENARIO_INC_000452,Chapter 3 Purple Magician: Identity of the Purple Magician,Chapter 3 Purple Magician: Identity of the Purple Magician
PROPQUEST_SCENARIO_INC_000453,"*cough* *cough* This bead, with all of its power, was crafted by the only pupil I ever had, Lapranche. *cough*","*uhuk* *uhuk* Manik ini, dengan seluruh kekuatannya, dibuat oleh satu-satunya murid yang pernah kumiliki, Lapranche. *uhuk*"
PROPQUEST_SCENARIO_INC_000454,She is the Black Magician. I was also the Black Magician at one point. We have often been confused for each other throughout history. *Sigh* It seems that Lapranche found out about them.,Dia adalah Penyihir Hitam. Saya juga Penyihir Hitam pada satu titik. Kami sering bingung satu sama lain sepanjang sejarah. *Huh* Sepertinya Lapranche mengetahui tentang mereka.
