Key,English,Indonesian
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,$QUEST_END_NPC_NAME$ senang sekali karena Quest telah selesai.
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,$QUEST_END_NPC_NAME$ senang sekali melihat quest telah selesai.
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,$QUEST_END_NPC_NAME$ sangat berterima kasih padamu karena telah menyelesaikan Quest ini.
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,Party of Is
PROPQUEST_REQUESTBOX_INC_000002,Is needs you to gather Chupim for her party. Will you help?,Is memintamu untuk mengumpulkan Chupim untuk Partynya. Maukah Kamu membantu?
PROPQUEST_REQUESTBOX_INC_000007,Is asking you to collect Chupim for her party.,Is memintamu untuk mengumpulkan Chupim untuk partynya.
PROPQUEST_REQUESTBOX_INC_000012,Unknown Situation (1),Unknown Situation (1)
PROPQUEST_REQUESTBOX_INC_000013,Flaris Pang needs you collect unknown letters. Will you help?,Flaris Pang membutuhkan bantuanmu untuk mengumpulkan Unknown Letters. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000018,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.,Flaris Pang ingin kamu mengumpulkan $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000024,Flaris Pang needs you to collect Unknown Certificates. Will you help?,Flaris Pang membutuhkan bantuanmu untuk mengumpulkan Unknown Certificates. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000034,Flying Board,Flying Board
PROPQUEST_REQUESTBOX_INC_000035,Dior needs you to collect Peakyrinds. Will you help?,Dior membutuhkan bantuanmu untuk mengumpulkan Peakyrinds. bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000040,Dior wants you to collect Peakyrinds.,Dior ingin kamu mengumpulkan Peakyrinds
PROPQUEST_REQUESTBOX_INC_000045,Fresh Start for Mop,Fresh Start for Mop
PROPQUEST_REQUESTBOX_INC_000046,House of Children needs you to collect Mop for their children. Will you help?,House of Children membutuhkan bantuanmu untuk mengumpulkan Mop untuk anak-anak. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000051,House of Children wants you to collect 3 Mop.,House of Children ingin kamu mengumpulkan 3 Mop.
PROPQUEST_REQUESTBOX_INC_000056,Gems for Wands,Gems for Wands
PROPQUEST_REQUESTBOX_INC_000057,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?,Madrigal Magician Union ingin kamu mengumpulkan Poporam untuk Wands mereka. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000062,Madrigal Magician Union wants you to collect 4 Poporam.,Madrigal Magician Union ingin kamu mengumpulkan 4 Poporam.
PROPQUEST_REQUESTBOX_INC_000067,"Cookie Machine, Valin Baget","Cookie Machine, Valin Baget"
PROPQUEST_REQUESTBOX_INC_000068,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?,Valin membutuhkan bantuanmu untuk mengumpulkan Slain untuk dijadikan bahan bakar Cookie Machinenya. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000073,Valin needs you to collect Slain for his cookie machine.,Valin ingin kamu mengumpulkan Slain untuk Cookie Machinenya
PROPQUEST_REQUESTBOX_INC_000078,Magic Quill,Magic Quill
PROPQUEST_REQUESTBOX_INC_000079,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?,Mule ingin kamu mengumpulkan Tarin Roots agar dia dapat membuat Magic Quill yang baru. Bisakah kamu membantunya?
PROPQUEST_REQUESTBOX_INC_000084,Mule needs you to collect Tarin roots.,Mule ingin kamu mengumpulkan Tarin roots
PROPQUEST_REQUESTBOX_INC_000089,Lyangglatang,Lyangglatang
PROPQUEST_REQUESTBOX_INC_000090,Rooney wants you to collect Nyanyangs for her party. Will you help?,Rooney ingin kamu mengumpulkan Nyanyangs untuk partynya. Bsiakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000095,Rooney needs you to collect Nyanyangs.,Rooney membutuhkanmu untuk mengumpulkan Nyanyangs.
PROPQUEST_REQUESTBOX_INC_000100,10 Year anniversary gift,10 Year anniversary gift
PROPQUEST_REQUESTBOX_INC_000101,Marche wants you to collect Starstones to make a 10 year anniversary gift. Will you help?,Marche ingin kamu mengumpulkan Starstone untuk membuatn 10 Year Anniversary Gift. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000106,Marche needs Starstones,Marche butuh Starstones
PROPQUEST_REQUESTBOX_INC_000111,Liquor for Dunkan,Liquor for Dunkan
PROPQUEST_REQUESTBOX_INC_000112,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?,dunkan membutuhkanmu untuk mengumpulkan Golden Wing untuk membuat Liquor baru. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000117,Dunkan wants Golden Wings.,Dunkan ingin Golden Wing
PROPQUEST_REQUESTBOX_INC_000122,Sweet Dessert,Sweet Dessert
PROPQUEST_REQUESTBOX_INC_000123,Damian needs you to collect Blue Honey to make a new dessert. Will you help?,Damian membutuhkanmu untuk mengumpulkan Madu Biru untuk membuat Dessert baru. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000128,Damian needs Blue Honey,Damian butuh Madu Biru
PROPQUEST_REQUESTBOX_INC_000133,Blessed Doll,Blessed Doll
PROPQUEST_REQUESTBOX_INC_000134,House of Children needs you to collect Mia Dolls as presents for the children. Will you help?,House of Children membutuhkanmu untuk mengumpulkan Boneka Mia sebagai hadiah bagi anak-anak. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000139,House of Children wants Mia Dolls.,House of Children ingin Boneka Mia
PROPQUEST_REQUESTBOX_INC_000144,Lost Documents,Dokumen yang Hilang
PROPQUEST_REQUESTBOX_INC_000145,Julia needs you to collect office documents stolen by the Mias. Will you help?,Julia membutuhkanmu untuk mengembalikan Dokumen Kantor yang dicuri para Mia. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000150,Julia wants the office documents that the mia stole.,Julia ingin Dokumen Kantor yang dicuri oleh para Mia
PROPQUEST_REQUESTBOX_INC_000155,Brightly Burning Flame,Brightly Burning Flame
PROPQUEST_REQUESTBOX_INC_000156,Bozman needs you to collect furious matches to use at his blast furnace. Will you help?,Bozman membutuhkanmu untuk mengumpulkan Furious Matches untuk digunakan pada tanur tempanya. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000161,Bozman wants furious matches,Bozman ingin Furious Matches
PROPQUEST_REQUESTBOX_INC_000166,Unknown Situation (2),Unknown Situation (2)
PROPQUEST_REQUESTBOX_INC_000167,Flaris Pang needs you to collect unknown letters.,Flaris Pang membutuhkanmu untuk mengumpulkan Unknown Letter.
PROPQUEST_REQUESTBOX_INC_000172,Flaris Pang needs unknown letters again.,Flaris Pang membutuhkan Unknown Letter lagi.
PROPQUEST_REQUESTBOX_INC_000177,Delicious Sauce,Delicious Sauce
PROPQUEST_REQUESTBOX_INC_000178,Kalin needs you to collect Cardrin to make delicious sauce.,Kalin membutuhkanmu untuk mengumpulkan Cardrin untuk membuat Delicious Sauce.
PROPQUEST_REQUESTBOX_INC_000183,Kalin wants Cardrin.,Kalin menginginkan Cardrin.
PROPQUEST_REQUESTBOX_INC_000188,Magic Orb,Magic Orb
PROPQUEST_REQUESTBOX_INC_000189,Martin needs Hammarble to make a Magic Orb. Will you help?,Martin membutuhkan Hammarble untuk membuat Magic Orb. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000194,Martin wants Hammarbles.,Martin ingin Hammarble.
PROPQUEST_REQUESTBOX_INC_000199,Mark of Bill,Mark of Bill
PROPQUEST_REQUESTBOX_INC_000200,Bill needs you to collect Gigglande so that he can make his mark. Will you help?,Bill membutuhkanmu untuk mengumpulkan Gigglande agar dia dapat membuat Marknya. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000205,Bill wants Gigglande.,Bill ingin Gigglande.
PROPQUEST_REQUESTBOX_INC_000210,Repair Work on Saint Hall,Repair Work on Saint Hall
PROPQUEST_REQUESTBOX_INC_000211,Helena needs you to collect Crescent Stones to repair Saint Hall. Will you help?,Helena membutuhkanmu untuk mengumpulkan beberapa Crescent Stone untuk memperbaiki Saint Hall. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000216,Helena wants $QUEST_END_ITEM_NAME$.,Helena menginginkan $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000221,Helping injured animals,Membantu hewan yang terluka.
PROPQUEST_REQUESTBOX_INC_000222,Madrigal Animal Association needs you to collect Bobands to help their injured animals. Will you help?,Madrigal Animal Association membutuhkanmu untuk mengumpulkan beberapa Bobands untuk mengobati hewan-hewan yang terluka. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000227,Madrigal Animal Association wants Bobands.,Madrigal Animal Association menginginkan Bobands.
PROPQUEST_REQUESTBOX_INC_000232,Strange Collector,Strange Collector
PROPQUEST_REQUESTBOX_INC_000233,Strange Collector needs you to collect Dumblings for his collection. Will you help?,Strange Collector membutuhkanmu untuk mengumpulkan Dumbling untuk dijadikan koleksinya. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000243,For the Wife,For the Wife
PROPQUEST_REQUESTBOX_INC_000244,Mayer needs Kalin to make a present for his wife. Will you help?,Mayer membutuhkan Kalin untuk membuat hadiah bagi Istrinya. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000249,Mayer wants Kalin.,Mayer menginginkan Kalin.
PROPQUEST_REQUESTBOX_INC_000254,Weak Heart,Weak Heart
PROPQUEST_REQUESTBOX_INC_000255,Helena needs clock hearts to make a new heart for her sick brother. Will you help?,Helena membutuhkan beberapa Clock Heart untuk membuat New Heart bagi adiknya yang sakit. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000265,Devil Marble,Devil Marble
PROPQUEST_REQUESTBOX_INC_000266,Bill needs Tomb Marbles to make the Devil Marble. Will you help?,Bil membutuhkan beberapa Tomb Marble untuk membuat Devil Marble. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000271,Bill wants Tomb Marbles.,Bil menginginkan Tomb Marble.
PROPQUEST_REQUESTBOX_INC_000276,Dream of the Fighter,Dream of the Fighter
PROPQUEST_REQUESTBOX_INC_000277,Fighter needs you to collect Golden Fists to make a golden glove. Will you help?,Fighter membutuhkanmu untuk mengumpulkan beberapa Golden Fist untuk membuat Golden Glove. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000282,Fighter wants Golden Fists.,Fightter menginginkan Golden Fist.
PROPQUEST_REQUESTBOX_INC_000287,Marbles for the Son,Marbles for the Son
PROPQUEST_REQUESTBOX_INC_000288,Mayer needs orbin to make marbles for his son. Will you help?,Mayer membutuhkan Orbin untuk membuat beberapa Marble untuk anaknya. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000293,Mayer wants orbin.,Mayer menginginkan Orbin
PROPQUEST_REQUESTBOX_INC_000298,Strange Collector (2),Strange Collector (2)
PROPQUEST_REQUESTBOX_INC_000299,Strange Collector needs you to collect $QUEST_END_ITEM_NAME$ for his collection. Will you help?,Strange Collector membutuhkanmu untuk mengumpulkan $QUEST_END_ITEM_NAME$ sebagai koleksinya. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000304,Strange Collector wants $QUEST_END_ITEM_NAME$.,Strange Collector menginginkan $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000309,Lens of Olien,Lens of Olien
PROPQUEST_REQUESTBOX_INC_000310,Olien needs you to collect steam tears to make a new lens. Will you help?,Olien membutuhkanmu untuk mengumpulkan Steam Tear untuk membuat New Lens. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000315,Olien wants steam tears.,Olien Menginginkan Steam Tear.
PROPQUEST_REQUESTBOX_INC_000320,Red Muffler,Red Muffler
PROPQUEST_REQUESTBOX_INC_000321,Soldier needs you to collect knightlers to make a new scarf. Will you help?,Soldier membutuhkanmu untuk mengumpulkan beberapa Knightler untuk membuat New Scarf. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000326,Soldier wants knightler.,Soldier menginginkan knightler.
PROPQUEST_REQUESTBOX_INC_000331,Dwarpet Festival,Dwarpet Festival
PROPQUEST_REQUESTBOX_INC_000332,The Dwarpet needs you to collect wheeshoes for their festival. Will you help?,Para Dwarpet membutuhkanmu untuk mengumpulkan Wheeshoes untuk festival mereka. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000337,The Dwarpet wants wheesoes.,Para Dwarpet menginginkan Wheeshoes.
PROPQUEST_REQUESTBOX_INC_000342,Crane Repair,Crane Repair
PROPQUEST_REQUESTBOX_INC_000343,The Erons Industrial Manager needs Droil to repair their crane. Will you help?,The Erons Industrial Manager membutuhkan Droil untuk memperbaiki Crane mereka. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000348,Erons want Droils.,Erons ingin Droil.
PROPQUEST_REQUESTBOX_INC_000353,Urgently looking for a Bandage,Sangat membutuhkan Bandage.
PROPQUEST_REQUESTBOX_INC_000364,Portable Power,Portable Power
PROPQUEST_REQUESTBOX_INC_000375,Strange Collector (3),Strange Collector (3)
PROPQUEST_REQUESTBOX_INC_000386,Replacement Tires,Replacement Tires
PROPQUEST_REQUESTBOX_INC_000387,The Dwarpet needs you to collect Dumptires to replace his flat tires. Will you help?,The Dwarpet membutuhkanmu untuk mengumpulkan beberapa Dumptire untuk menggantikan Flat tires nya. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000392,The Dwarpet wants Dumptire.,The Dwarpet menginginkan Dumptire.
PROPQUEST_REQUESTBOX_INC_000397,Strange Collector (4),Strange Collector (4)
PROPQUEST_REQUESTBOX_INC_000398,Mysterious collector needs Garbageton for his collection. Will you help?,Mysterious Collector membutuhkan Garbageton untuk dijadikan koleksinya. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000408,Relics of a Husband,Relics of a Husband
PROPQUEST_REQUESTBOX_INC_000409,A widow has asked that you collect Eronior so that she can re-make the ring of her husband. Will you help?,Seorang Widow memintamu untuk mengumpulkan Eronior agar dia bisa membuat kembali cincin peninggalan suaminya. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000414,A widow wants some Eronior.,Seorang Widow menginginkan beberapa Eronior.
PROPQUEST_REQUESTBOX_INC_000419,Disguise of Remina,Disguise of Remina
PROPQUEST_REQUESTBOX_INC_000420,Remina needs you to collect repygle to make a pair of disguising sunglasses. Will you help?,Remina membutuhkanmu untuk mengumpulkan Repygle untuk membuat sepasang Disguising Sunglasses. Bisakah mau membantu?
PROPQUEST_REQUESTBOX_INC_000425,Remina wants $QUEST_END_ITEM_NAME$.,Remina menginginkan $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000430,Beautiful Keil Wallpaper,Beautiful Keil Wallpaper
PROPQUEST_REQUESTBOX_INC_000431,Haven needs you to collect Sycale to re-model the Magic Shop. Will you help?,Haven membutuhkanmu untuk mengumpulkan Sycale untuk mengubah kembali penampilan Magic Shop. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000436,Heaven wants Sycale.,Heaven menginginkan Sycale.
PROPQUEST_REQUESTBOX_INC_000441,Strange Collector (5),Strange Collector (5)
PROPQUEST_REQUESTBOX_INC_000442,Strange Collector needs $QUEST_END_ITEM_NAME$ for his collection. Will you help?,Strange Collector membutuhkan $QUEST_END_ITEM_NAME$ untuk koleksinya. bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000447,Strange collector want Mong Tear,Strange collector ingin Mong Tear
PROPQUEST_REQUESTBOX_INC_000452,Anesthetic Needs,Anesthetic Needs
PROPQUEST_REQUESTBOX_INC_000463,New Kind of Firework,New Kind of Firework
PROPQUEST_REQUESTBOX_INC_000464,The Fireworks Producer needs Bomb Timers to make a new kind of firework. Will you help?,The Fireworks Producer membutuhkan Bomb Timer untuk membuat Firework model barus. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000465,You get bombtimers from any type of Carrierbomb.,Kamu bisa mendapatkan Bombtimer dari semua tipe Carrierbomb.
PROPQUEST_REQUESTBOX_INC_000469,The Firework Producer wants Bomb Timers.,The Firework Producer menginginkan Bomb Timer.
PROPQUEST_REQUESTBOX_INC_000474,Snack for the Children,Snack for the Children
PROPQUEST_REQUESTBOX_INC_000475,Bolpor needs Prewing to make some snacks for the children. Will you help?,Bolpor butuh Prewing untuk membuat beberapa snack bagi anak-anak. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000480,Bolpor wants Prewing.,Bolpor menginginkan Prewing.
PROPQUEST_REQUESTBOX_INC_000485,Mushroom Farm of Chitller,Mushroom Farm of Chitller
PROPQUEST_REQUESTBOX_INC_000486,Chitller needs you to collect Poiespore for his mushroom farm will you help?,Chitller membutuhkanmu untuk mengumpulkan Poiespore untuk kebun jamurnya. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000491,Chitller wants Poiespore.,Chitller menginginkan Poiespore.
PROPQUEST_REQUESTBOX_INC_000496,New Yo-Yo,New Yo-Yo
PROPQUEST_REQUESTBOX_INC_000497,An Acrobat master needs you to gather Renyken to make a new Yo-Yo. Will you help?,Seorang Acrobat Master membutuhkanmu untuk mengumpulkan Renyken untuk membuat Yo-Yo baru. Bisakah kamu bantu?
PROPQUEST_REQUESTBOX_INC_000502,An Acrobat master wants Renyken.,Seorang Acrobat Master menginginkan Renyken.
PROPQUEST_REQUESTBOX_INC_000507,Disguise of a Native,Disguise of a Native
PROPQUEST_REQUESTBOX_INC_000508,Darkon natives need you to collect Tangkask. Will you help?,Darkon Natives membutuhkanmu untuk mengumpulkan Tangkask. Bisakah kamu bantu?
PROPQUEST_REQUESTBOX_INC_000513,Darkon natives want Tankask.,Darkon Natives menginginkan Tankask.
PROPQUEST_REQUESTBOX_INC_000518,Woodworking Material,Woodworking Material
PROPQUEST_REQUESTBOX_INC_000529,The Best Shield,The Best Shield
PROPQUEST_REQUESTBOX_INC_000530,Remina needs Luchest to make the strongest shield in the world. Will you help?,Remina membutuhkan Luchest untuk membuat perisai terkuat di dunia. Bisakah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000540,Beauty Contest Award,Beauty Contest Award
PROPQUEST_REQUESTBOX_INC_000541,The Madrigal Beauty Contest needs Eronsimint for making an award. Will you help?,The Madrigal Beauty Contest membutuhkan Eronsimint untuk membuat Penghargaan. Bisakah Kamu bantu?
PROPQUEST_REQUESTBOX_INC_000546,The Madrigal Beauty Contest sponsor wants Eronsimint.,The MAdrigal Beauty Contest sponsor menginginkan Eronsimint.
PROPQUEST_REQUESTBOX_INC_000551,Lucky Tool,Lucky Tool
PROPQUEST_REQUESTBOX_INC_000552,Lucky needs Hammamer to make a lucky hammer. Will you help?,Lucky membutuhkan Hammamer untuk membuat Lucky Hammer. Bisakah kamu bantu?
PROPQUEST_REQUESTBOX_INC_000557,Lucky wants Hammamer.,Lucky menginginkan Hammamer.
PROPQUEST_REQUESTBOX_INC_000562,Strange Collector (6),Strange Collector (6)
PROPQUEST_REQUESTBOX_INC_000573,Request of Lurif,Request of Lurif
PROPQUEST_REQUESTBOX_INC_000574,Could you do me a favor? I need Phanbubble. Can you help me please?,Bisakah Kamu membantuku? Aku butuh Phanbubble. Kumohon tolong bantu aku?
PROPQUEST_REQUESTBOX_INC_000579,Lurif needs many Phanbubbles.,Lurif membutuhkan banyak Phanbubbles.
PROPQUEST_REQUESTBOX_INC_000815,Mysterious Magic Material,Mysterious Magic Material
PROPQUEST_REQUESTBOX_INC_000816,Magician Master requested you to collect Merahook which is a magic material. Will you accept this request?,Magician Master memintamu untuk mengumpulkan Merahook yang mana merupakan material magic. Maukah kamu menerima quest ini?
PROPQUEST_REQUESTBOX_INC_000817,You can collect them from the group of Chimeradon in the Deadwallderness.,Kamu bisa mengumpulkannya dari gerombolan Chimeradon yang berada di Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000826,Avenge Nerky,Avenge Nerky
PROPQUEST_REQUESTBOX_INC_000827,Krinton's pet Bearnerky got killed by the other Bearnerky. Krinton requested you to collect NerkyMane for revenge. Will you accept this request?,"Peliharaan Krinton, Bearnerky terbunuh oleh Bearnerky liar. Krinton memintamu untuk mengumpulkan NerkyMane untuk balas dendam. Maukah kamu menerima quest ini?"
PROPQUEST_REQUESTBOX_INC_000828,You can collect them from the group of Bearnerky in the Deadwallderness.,Kamu dapat mengumpulkannya dari gerombolan Bearnerky yang berada di Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000837,Bolpor's favor,Bolpor's favor
PROPQUEST_REQUESTBOX_INC_000838,Bolpor requested you to collect Rincruet for making some special food. Will you accept this request?,Bolpor memintamu mengumpulkan Rincruet untuk membuat beberapa makanan spesial. Maukah kamu menerima quest ini?
PROPQUEST_REQUESTBOX_INC_000839,You can collect them from the group of Muffrin in the Deadwallderness.,You dapat mengumpulkannya dari gerombolan Muffrin yang berada di Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000848,Toy Materials,Toy Materials
PROPQUEST_REQUESTBOX_INC_000849,A toy merchant requested you to collect Popshift for making fancy toys. Will you accept this request?,Seorang Toy Merchant memintamu mengumpulkan Popshift untuk membuat beberapa Fancy Toy. Maukah kamu menerima Quest ini?
PROPQUEST_REQUESTBOX_INC_000850,You can collect them from the group of Popcrank in the Deadwallderness.,Kamu bisa mengumpulkannya dari gerombolan Popcrank yang berada di Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000859,Evil Eyed Red Dragon,Evil Eyed Red Dragon
PROPQUEST_REQUESTBOX_INC_000860,Can you please go find Dragon Tooth of the Meteonyker Dragon for me? The Arena Manager Lay requested 5 of them.,Bisakah kamu mancari Dragon Tooth of the Meteonyker Dragon untukku? The Arena Manager Lay meminta 5 buah.
PROPQUEST_REQUESTBOX_INC_000861,"You can collect them from Meteonyker. I heard it's in Dekane Dungeon. Be careful, the Meteonyker is very strong! It's  best if you go with a party!","Kamu dapat mengumpulkannya dari Meteonyker. Aku dengar, mereka berada di Dekane Dungeon. Berhati-hatilah, Meteonyker sangatlah kuat! Aku sangat menyarankan agar kamu membentuk Party sebelum kesana!"
PROPQUEST_REQUESTBOX_INC_010000,Moth Infestation,Moth Infestation
PROPQUEST_REQUESTBOX_INC_010001,Tina asked for help with reducing the Mothbee population as they're causing problems with transport. Could you kill 15 of them?,Tina meminta tolong untuk mengurangi populasi Mothbee dikarenakan mereka memulai mengganggu transportasi. Bisakah kamu memusnahkan 15 dari mereka?
PROPQUEST_REQUESTBOX_INC_010002,You can find Mothbee flying inbetween Northern Saint City & Flaris.,Kamu bisa menemukan Mothbee yang beterbangan diantara Northern Saint City & Flaris.
PROPQUEST_REQUESTBOX_INC_010003,You don't want to help? That's okay. We'll find somebody else.,Kamu tidak ingin membantu? Tidak apa. Kita akan orang lain yang mau.
PROPQUEST_REQUESTBOX_INC_010004,You haven't finished the task yet.,Kamu masih belum menyelesaikan tugasnya.
PROPQUEST_REQUESTBOX_INC_010005,Mutated Aibatts,Mutated Aibatts
PROPQUEST_REQUESTBOX_INC_010006,Tina has reported a new kind of Masquerpet called Zendros. Please could you kill 15 of them?,Tina melaporkan tentang jenis baru Masquerpet yang dipanggil Zendros. Bisakah kamu memusnahkan 15 dari mereka?
PROPQUEST_REQUESTBOX_INC_010007,You can find Zendros flying between Flaris and Saint morning continents.,Kamu bisa menemukan Zendros beterbangan diantara Flaris & Saint Morning Continents. 
PROPQUEST_REQUESTBOX_INC_010008,Dragonflies,Dragonflies
PROPQUEST_REQUESTBOX_INC_010009,Tina asked for help with reducing the Neparuba population as they're causing problems with transport. Could you kill 15 of them?,Tina meminta bantuan untuk mengurangi populasi Neparuba karena mereka mulai mengganggu transportasi. Bisakah kamu memusnahkan 15 dari mereka?
PROPQUEST_REQUESTBOX_INC_010010,You can find Neparuba flying between Flaris and Saint morning continents.,Kamu bisa menemukan Neparuba beterbangan antara Flaris & Saint Morning Continents
PROPQUEST_REQUESTBOX_INC_010011,Flybrigen Brigade,Flybrigen Brigade
PROPQUEST_REQUESTBOX_INC_010012,Tina asked for help with reducing the Flybrigen population as they're causing problems with transport. Could you kill 15 of them?,Tina meminta bantuan untuk mengurangi populasi Flybrigen karena mereka mulai mengganggu transportasi. Bisakah kamu memusnahkan 15 dari mereka?
PROPQUEST_REQUESTBOX_INC_010013,You can find Flybrigen flying between Saint Morning and Garden of Rhisis continents.,Kamu bisa menemukan Flybrigen beterbangan diantara Saint Morning & Garden of Rhisis Continents.
PROPQUEST_REQUESTBOX_INC_010014,Moth Infestation (2),Moth Infestation (2)
