Key,English,Filipino
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,Magaling! Matagumpay mong natapos ang quest. Tanggapin mo ito bilang pasasalamat.
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,Natuwa si $QUEST_END_NPC_NAME$ na natapos ang quest.
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,Masayang-masaya si $QUEST_END_NPC_NAME$ na nakumpleto ang quest.
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,Lubos na nagpapasalamat sa'yo si $QUEST_END_NPC_NAME$ dahil natapos mo ang quest na ito.
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,Party ni Is
PROPQUEST_REQUESTBOX_INC_000002,Is needs you to gather Chupim for her party. Will you help?,Kailangan ni Is na mangalap ka ng Chupim para sa kanyang party. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000007,Is asking you to collect Chupim for her party.,Hinihiling ni Is na kolektahin mo ang Chupim para sa kanyang party.
PROPQUEST_REQUESTBOX_INC_000012,Unknown Situation (1),Unknown Situation (1)
PROPQUEST_REQUESTBOX_INC_000013,Flaris Pang needs you collect unknown letters. Will you help?,Kailangan ni Flaris Pang na kolektahin mo ang mga unknown letters. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000018,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.,Gusto ni Flaris Pang na kolektahin mo ang $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000024,Flaris Pang needs you to collect Unknown Certificates. Will you help?,Kailangan ni Flaris Pang na kolektahin mo ang Unknown Certificates. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000034,Flying Board,Flying Board
PROPQUEST_REQUESTBOX_INC_000035,Dior needs you to collect Peakyrinds. Will you help?,Kailangan ni Dior na kolektahin mo ang Peakyrinds. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000040,Dior wants you to collect Peakyrinds.,Gusto ni Dior na kolektahin mo ang Peakyrinds.
PROPQUEST_REQUESTBOX_INC_000045,Fresh Start for Mop,Fresh Start for Mop
PROPQUEST_REQUESTBOX_INC_000046,House of Children needs you to collect Mop for their children. Will you help?,Kailangan ng House of Children na kolektahin mo ang Mop para sa kanilang mga bata. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000051,House of Children wants you to collect 3 Mop.,Gusto ng House of Children na kolektahin mo ang 3 Mop.
PROPQUEST_REQUESTBOX_INC_000056,Gems for Wands,Gems for Wands
PROPQUEST_REQUESTBOX_INC_000057,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?,Kailangan ng Madrigal Magician Union na kolektahin mo ang Poporam para sa kanilang mga wand. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000062,Madrigal Magician Union wants you to collect 4 Poporam.,Gusto ng Madrigal Magician Union na kolektahin mo ang 4 Poporam.
PROPQUEST_REQUESTBOX_INC_000067,"Cookie Machine, Valin Baget","Cookie Machine, Valin Baget"
PROPQUEST_REQUESTBOX_INC_000068,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?,Kailangan ni Valin na kolektahin mo ang Slain para paganahin ang kanyang Cookie Machine. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000073,Valin needs you to collect Slain for his cookie machine.,Kailangan ni Valin na kolektahin mo ang Slain para sa kanyang cookie machine.
PROPQUEST_REQUESTBOX_INC_000078,Magic Quill,Magic Quill
PROPQUEST_REQUESTBOX_INC_000079,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?,Kailangan ni Mule na kolektahin mo ang Tarin roots para makagawa siya ng bagong magic quill. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000084,Mule needs you to collect Tarin roots.,Kailangan ni Mule na kolektahin mo ang Tarin roots.
PROPQUEST_REQUESTBOX_INC_000089,Lyangglatang,Lyangglatang
PROPQUEST_REQUESTBOX_INC_000090,Rooney wants you to collect Nyanyangs for her party. Will you help?,Kailangan ni Rooney na kolektahin mo ang Nyanyangs para sa kanyang party. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000095,Rooney needs you to collect Nyanyangs.,Kailangan ni Rooney na kolektahin mo ang Nyanyangs.
PROPQUEST_REQUESTBOX_INC_000100,10 Year anniversary gift,10 Year anniversary gift
PROPQUEST_REQUESTBOX_INC_000101,Marche wants you to collect Starstones to make a 10 year anniversary gift. Will you help?,Kailangan ni Marche na kolektahin mo ang Starstones para gumawa ng 10 year anniversary gift. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000106,Marche needs Starstones,Kailangan ni Marche ng Starstones.
PROPQUEST_REQUESTBOX_INC_000111,Liquor for Dunkan,Liquor for Dunkan
PROPQUEST_REQUESTBOX_INC_000112,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?,Kailangan ni Dunkan na kolektahin mo ang Golden Wings para makagawa ng bagong liquor. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000117,Dunkan wants Golden Wings.,Gusto ni Dunkan ang Golden Wings.
PROPQUEST_REQUESTBOX_INC_000122,Sweet Dessert,Sweet Dessert
PROPQUEST_REQUESTBOX_INC_000123,Damian needs you to collect Blue Honey to make a new dessert. Will you help?,Kailangan ni Damian na kolektahin mo ang Blue Honey para gumawa ng bagong dessert. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000128,Damian needs Blue Honey,Kailangan ni Damian ng Blue Honey.
PROPQUEST_REQUESTBOX_INC_000133,Blessed Doll,Blessed Doll
PROPQUEST_REQUESTBOX_INC_000134,House of Children needs you to collect Mia Dolls as presents for the children. Will you help?,Kailangan ng House of Children na kolektahin mo ang Mia Dolls bilang regalo para sa mga bata. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000139,House of Children wants Mia Dolls.,Gusto ng House of Children ang Mia Dolls.
PROPQUEST_REQUESTBOX_INC_000144,Lost Documents,Lost Documents
PROPQUEST_REQUESTBOX_INC_000145,Julia needs you to collect office documents stolen by the Mias. Will you help?,Kailangan ni Julia na kolektahin mo ang office documents na ninakaw ng mga Mias. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000150,Julia wants the office documents that the mia stole.,Gusto ni Julia ang mga office documents na ninakaw ng mia.
PROPQUEST_REQUESTBOX_INC_000155,Brightly Burning Flame,Brightly Burning Flame
PROPQUEST_REQUESTBOX_INC_000156,Bozman needs you to collect furious matches to use at his blast furnace. Will you help?,Kailangan ni Bozman na kolektahin mo ang furious matches para gamitin sa kanyang blast furnace. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000161,Bozman wants furious matches,Gusto ni Bozman ang furious matches.
PROPQUEST_REQUESTBOX_INC_000166,Unknown Situation (2),Unknown Situation (2)
PROPQUEST_REQUESTBOX_INC_000167,Flaris Pang needs you to collect unknown letters.,Kailangan ni Flaris Pang na kolektahin mo ang mga unknown letters.
PROPQUEST_REQUESTBOX_INC_000172,Flaris Pang needs unknown letters again.,Kailangan ni Flaris Pang muli ng unknown letters.
PROPQUEST_REQUESTBOX_INC_000177,Delicious Sauce,Delicious Sauce
PROPQUEST_REQUESTBOX_INC_000178,Kalin needs you to collect Cardrin to make delicious sauce.,Kailangan ni Kalin na kolektahin mo ang Cardrin para makagawa ng masarap na sauce.
PROPQUEST_REQUESTBOX_INC_000183,Kalin wants Cardrin.,Gusto ni Kalin ang Cardrin.
PROPQUEST_REQUESTBOX_INC_000188,Magic Orb,Magic Orb
PROPQUEST_REQUESTBOX_INC_000189,Martin needs Hammarble to make a Magic Orb. Will you help?,Kailangan ni Martin ng Hammarble para gumawa ng Magic Orb. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000194,Martin wants Hammarbles.,Gusto ni Martin ang mga Hammarbles.
PROPQUEST_REQUESTBOX_INC_000199,Mark of Bill,Mark of Bill
PROPQUEST_REQUESTBOX_INC_000200,Bill needs you to collect Gigglande so that he can make his mark. Will you help?,Kailangan ni Bill na kolektahin mo ang Gigglande para magawa ang kanyang mark. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000205,Bill wants Gigglande.,Gusto ni Bill ang Gigglande.
PROPQUEST_REQUESTBOX_INC_000210,Repair Work on Saint Hall,Repair Work on Saint Hall
PROPQUEST_REQUESTBOX_INC_000211,Helena needs you to collect Crescent Stones to repair Saint Hall. Will you help?,Kailangan ni Helena na kolektahin mo ang Crescent Stones para ayusin ang Saint Hall. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000216,Helena wants $QUEST_END_ITEM_NAME$.,Gusto ni Helena ng $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000221,Helping injured animals,Helping injured animals
PROPQUEST_REQUESTBOX_INC_000222,Madrigal Animal Association needs you to collect Bobands to help their injured animals. Will you help?,Kailangan ng Madrigal Animal Association na kolektahin mo ang Bobands para tulungan ang kanilang mga nasugatang hayop. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000227,Madrigal Animal Association wants Bobands.,Gusto ng Madrigal Animal Association ang Bobands.
PROPQUEST_REQUESTBOX_INC_000232,Strange Collector,Strange Collector
PROPQUEST_REQUESTBOX_INC_000233,Strange Collector needs you to collect Dumblings for his collection. Will you help?,Kailangan ng Strange Collector na kolektahin mo ang Dumblings para sa kanyang koleksyon. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000243,For the Wife,For the Wife
PROPQUEST_REQUESTBOX_INC_000244,Mayer needs Kalin to make a present for his wife. Will you help?,Kailangan ni Mayer ang Kalin para gumawa ng regalo para sa kanyang asawa. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000249,Mayer wants Kalin.,Gusto ni Mayer ang Kalin.
PROPQUEST_REQUESTBOX_INC_000254,Weak Heart,Weak Heart
PROPQUEST_REQUESTBOX_INC_000255,Helena needs clock hearts to make a new heart for her sick brother. Will you help?,Kailangan ni Helena ang clock hearts para gumawa ng bagong puso para sa kanyang maysakit na kapatid. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000265,Devil Marble,Devil Marble
PROPQUEST_REQUESTBOX_INC_000266,Bill needs Tomb Marbles to make the Devil Marble. Will you help?,Kailangan ni Bill ang Tomb Marbles para gawin ang Devil Marble. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000271,Bill wants Tomb Marbles.,Gusto ni Bill ang Tomb Marbles.
PROPQUEST_REQUESTBOX_INC_000276,Dream of the Fighter,Dream of the Fighter
PROPQUEST_REQUESTBOX_INC_000277,Fighter needs you to collect Golden Fists to make a golden glove. Will you help?,Kailangan ng Fighter na kolektahin mo ang Golden Fists para gumawa ng golden glove. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000282,Fighter wants Golden Fists.,Gusto ng Fighter ang Golden Fists.
PROPQUEST_REQUESTBOX_INC_000287,Marbles for the Son,Marbles for the Son
PROPQUEST_REQUESTBOX_INC_000288,Mayer needs orbin to make marbles for his son. Will you help?,Kailangan ni Mayer ang orbin para gumawa ng marbles para sa kanyang anak. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000293,Mayer wants orbin.,Gusto ni Mayer ang orbin.
PROPQUEST_REQUESTBOX_INC_000298,Strange Collector (2),Strange Collector (2)
PROPQUEST_REQUESTBOX_INC_000299,Strange Collector needs you to collect $QUEST_END_ITEM_NAME$ for his collection. Will you help?,Kailangan ng Strange Collector na kolektahin mo ang $QUEST_END_ITEM_NAME$ para sa kanyang koleksyon. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000304,Strange Collector wants $QUEST_END_ITEM_NAME$.,Gusto ng Strange Collector ang $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000309,Lens of Olien,Lens ni Olien
PROPQUEST_REQUESTBOX_INC_000310,Olien needs you to collect steam tears to make a new lens. Will you help?,Kailangan ni Olien na kolektahin mo ang steam tears para makagawa ng bagong lens. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000315,Olien wants steam tears.,Gusto ni Olien ang steam tears.
PROPQUEST_REQUESTBOX_INC_000320,Red Muffler,Pulang Muffler
PROPQUEST_REQUESTBOX_INC_000321,Soldier needs you to collect knightlers to make a new scarf. Will you help?,Kailangan ng Soldier na kolektahin mo ang knightlers para makagawa ng bagong scarf. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000326,Soldier wants knightler.,Gusto ng Soldier ang knightler.
PROPQUEST_REQUESTBOX_INC_000331,Dwarpet Festival,Dwarpet Festival
PROPQUEST_REQUESTBOX_INC_000332,The Dwarpet needs you to collect wheeshoes for their festival. Will you help?,Kailangan ng Dwarpet na kolektahin mo ang wheeshoes para sa kanilang festival. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000337,The Dwarpet wants wheesoes.,Gusto ng Dwarpet ang wheesoes.
PROPQUEST_REQUESTBOX_INC_000342,Crane Repair,Crane Repair
PROPQUEST_REQUESTBOX_INC_000343,The Erons Industrial Manager needs Droil to repair their crane. Will you help?,Kailangan ng Erons Industrial Manager ang Droil para ayusin ang kanilang crane. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000348,Erons want Droils.,Gusto ng Erons ang Droils.
PROPQUEST_REQUESTBOX_INC_000353,Urgently looking for a Bandage,Agad na naghahanap ng Bandage
PROPQUEST_REQUESTBOX_INC_000364,Portable Power,Portable Power
PROPQUEST_REQUESTBOX_INC_000375,Strange Collector (3),Strange Collector (3)
PROPQUEST_REQUESTBOX_INC_000386,Replacement Tires,Replacement Tires
PROPQUEST_REQUESTBOX_INC_000387,The Dwarpet needs you to collect Dumptires to replace his flat tires. Will you help?,Kailangan ng Dwarpet na kolektahin mo ang Dumptires para palitan ang kanyang flat tires. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000392,The Dwarpet wants Dumptire.,Gusto ng Dwarpet ang Dumptire.
PROPQUEST_REQUESTBOX_INC_000397,Strange Collector (4),Strange Collector (4)
PROPQUEST_REQUESTBOX_INC_000398,Mysterious collector needs Garbageton for his collection. Will you help?,Mysterious collector needs Garbageton for his collection. Will you help?
PROPQUEST_REQUESTBOX_INC_000408,Relics of a Husband,Relics of a Husband
PROPQUEST_REQUESTBOX_INC_000409,A widow has asked that you collect Eronior so that she can re-make the ring of her husband. Will you help?,Isang balo ang humiling na kolektahin mo ang Eronior para muling gawin ang singsing ng kanyang asawa. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000414,A widow wants some Eronior.,Gusto ng isang balo ang ilang Eronior.
PROPQUEST_REQUESTBOX_INC_000419,Disguise of Remina,Disguise of Remina
PROPQUEST_REQUESTBOX_INC_000420,Remina needs you to collect repygle to make a pair of disguising sunglasses. Will you help?,Kailangan ni Remina na kolektahin mo ang repygle para makagawa ng sunglasses na pang-disguise. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000425,Remina wants $QUEST_END_ITEM_NAME$.,Gusto ni Remina ang $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000430,Beautiful Keil Wallpaper,Beautiful Keil Wallpaper
PROPQUEST_REQUESTBOX_INC_000431,Haven needs you to collect Sycale to re-model the Magic Shop. Will you help?,Kailangan ng Haven na kolektahin mo ang Sycale para i-remodel ang Magic Shop. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000436,Heaven wants Sycale.,Gusto ng Heaven ang Sycale.
PROPQUEST_REQUESTBOX_INC_000441,Strange Collector (5),Strange Collector (5)
PROPQUEST_REQUESTBOX_INC_000442,Strange Collector needs $QUEST_END_ITEM_NAME$ for his collection. Will you help?,Kailangan ng Strange Collector ang $QUEST_END_ITEM_NAME$ para sa kanyang koleksyon. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000447,Strange collector want Mong Tear,Strange collector wants Mong Tear
PROPQUEST_REQUESTBOX_INC_000452,Anesthetic Needs,Anesthetic Needs
PROPQUEST_REQUESTBOX_INC_000463,New Kind of Firework,New Kind of Firework
PROPQUEST_REQUESTBOX_INC_000464,The Fireworks Producer needs Bomb Timers to make a new kind of firework. Will you help?,Kailangan ng Fireworks Producer na kolektahin mo ang Bomb Timers para makagawa ng bagong uri ng firework. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000465,You get bombtimers from any type of Carrierbomb.,Makukuha mo ang bombtimers mula sa anumang uri ng Carrierbomb.
PROPQUEST_REQUESTBOX_INC_000469,The Firework Producer wants Bomb Timers.,Gusto ng Firework Producer ang Bomb Timers.
PROPQUEST_REQUESTBOX_INC_000474,Snack for the Children,Snack for the Children
PROPQUEST_REQUESTBOX_INC_000475,Bolpor needs Prewing to make some snacks for the children. Will you help?,Kailangan ni Bolpor na kolektahin mo ang Prewing para gumawa ng snack para sa mga bata. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000480,Bolpor wants Prewing.,Gusto ni Bolpor ang Prewing.
PROPQUEST_REQUESTBOX_INC_000485,Mushroom Farm of Chitller,Mushroom Farm of Chitller
PROPQUEST_REQUESTBOX_INC_000486,Chitller needs you to collect Poiespore for his mushroom farm will you help?,Kailangan ni Chitller na kolektahin mo ang Poiespore para sa kanyang mushroom farm. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000491,Chitller wants Poiespore.,Gusto ni Chitller ang Poiespore.
PROPQUEST_REQUESTBOX_INC_000496,New Yo-Yo,New Yo-Yo
PROPQUEST_REQUESTBOX_INC_000497,An Acrobat master needs you to gather Renyken to make a new Yo-Yo. Will you help?,Kailangan ng isang Acrobat master na kolektahin mo ang Renyken para makagawa ng bagong Yo-Yo. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000502,An Acrobat master wants Renyken.,Gusto ng isang Acrobat master ang Renyken.
PROPQUEST_REQUESTBOX_INC_000507,Disguise of a Native,Disguise of a Native
PROPQUEST_REQUESTBOX_INC_000508,Darkon natives need you to collect Tangkask. Will you help?,Kailangan ng mga native ng Darkon na kolektahin mo ang Tangkask. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000513,Darkon natives want Tankask.,Gusto ng mga native ng Darkon ang Tankask.
PROPQUEST_REQUESTBOX_INC_000518,Woodworking Material,Woodworking Material
PROPQUEST_REQUESTBOX_INC_000529,The Best Shield,The Best Shield
PROPQUEST_REQUESTBOX_INC_000530,Remina needs Luchest to make the strongest shield in the world. Will you help?,Kailangan ni Remina ang Luchest para gawin ang pinakamalakas na shield sa mundo. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000540,Beauty Contest Award,Beauty Contest Award
PROPQUEST_REQUESTBOX_INC_000541,The Madrigal Beauty Contest needs Eronsimint for making an award. Will you help?,Kailangan ng Madrigal Beauty Contest ang Eronsimint para gumawa ng award. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000546,The Madrigal Beauty Contest sponsor wants Eronsimint.,Gusto ng sponsor ng Madrigal Beauty Contest ang Eronsimint.
PROPQUEST_REQUESTBOX_INC_000551,Lucky Tool,Lucky Tool
PROPQUEST_REQUESTBOX_INC_000552,Lucky needs Hammamer to make a lucky hammer. Will you help?,Kailangan ni Lucky ang Hammamer para gumawa ng lucky hammer. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000557,Lucky wants Hammamer.,Gusto ni Lucky ang Hammamer.
PROPQUEST_REQUESTBOX_INC_000562,Strange Collector (6),Strange Collector (6)
PROPQUEST_REQUESTBOX_INC_000573,Request of Lurif,Request of Lurif
PROPQUEST_REQUESTBOX_INC_000574,Could you do me a favor? I need Phanbubble. Can you help me please?,Pwede mo ba akong tulungan? Kailangan ko ng Phanbubble. Matutulungan mo ba ako?
PROPQUEST_REQUESTBOX_INC_000579,Lurif needs many Phanbubbles.,Kailangan ni Lurif ng maraming Phanbubbles.
PROPQUEST_REQUESTBOX_INC_000815,Mysterious Magic Material,Mysterious Magic Material
PROPQUEST_REQUESTBOX_INC_000816,Magician Master requested you to collect Merahook which is a magic material. Will you accept this request?,Inutusan ka ng Magician Master na kolektahin ang Merahook na isang magic material. Tatanggapin mo ba ang kahilingang ito?
PROPQUEST_REQUESTBOX_INC_000817,You can collect them from the group of Chimeradon in the Deadwallderness.,Makukuha mo ang mga ito mula sa grupo ng Chimeradon sa Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000826,Avenge Nerky,Avenge Nerky
PROPQUEST_REQUESTBOX_INC_000827,Krinton's pet Bearnerky got killed by the other Bearnerky. Krinton requested you to collect NerkyMane for revenge. Will you accept this request?,Napatay ang pet na Bearnerky ni Krinton ng ibang Bearnerky. Inutusan ka ni Krinton na kolektahin ang NerkyMane bilang paghihiganti. Tatanggapin mo ba?
PROPQUEST_REQUESTBOX_INC_000828,You can collect them from the group of Bearnerky in the Deadwallderness.,Makukuha mo ang mga ito mula sa grupo ng Bearnerky sa Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000837,Bolpor's favor,Bolpor's favor
PROPQUEST_REQUESTBOX_INC_000838,Bolpor requested you to collect Rincruet for making some special food. Will you accept this request?,Inutusan ka ni Bolpor na kolektahin ang Rincruet para gumawa ng espesyal na pagkain. Tatanggapin mo ba ang kahilingan?
PROPQUEST_REQUESTBOX_INC_000839,You can collect them from the group of Muffrin in the Deadwallderness.,Makukuha mo ang mga ito mula sa grupo ng Muffrin sa Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000848,Toy Materials,Toy Materials
PROPQUEST_REQUESTBOX_INC_000849,A toy merchant requested you to collect Popshift for making fancy toys. Will you accept this request?,Hiniling sa iyo ng isang toy merchant na kolektahin ang Popshift para gumawa ng magagarbong laruan. Tatanggapin mo ba?
PROPQUEST_REQUESTBOX_INC_000850,You can collect them from the group of Popcrank in the Deadwallderness.,Makukuha mo ang mga ito mula sa grupo ng Popcrank sa Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000859,Evil Eyed Red Dragon,Evil Eyed Red Dragon
PROPQUEST_REQUESTBOX_INC_000860,Can you please go find Dragon Tooth of the Meteonyker Dragon for me? The Arena Manager Lay requested 5 of them.,Puwede mo bang hanapin ang Dragon Tooth ng Meteonyker Dragon para sa akin? Humiling ang Arena Manager na si Lay ng 5 nito.
PROPQUEST_REQUESTBOX_INC_000861,"You can collect them from Meteonyker. I heard it's in Dekane Dungeon. Be careful, the Meteonyker is very strong! It's  best if you go with a party!","Makukuha mo ang mga ito mula sa Meteonyker. Narinig kong nasa Dekane Dungeon ito. Mag-ingat, napakalakas ng Meteonyker! Mas mabuti kung sasama ka sa party!"
PROPQUEST_REQUESTBOX_INC_010000,Moth Infestation,Moth Infestation
PROPQUEST_REQUESTBOX_INC_010001,Tina asked for help with reducing the Mothbee population as they're causing problems with transport. Could you kill 15 of them?,Hiningi ni Tina ang tulong para bawasan ang populasyon ng Mothbee dahil nagdudulot sila ng problema sa transportasyon. Puwede mo bang patayin ang 15 sa kanila?
PROPQUEST_REQUESTBOX_INC_010002,You can find Mothbee flying inbetween Northern Saint City & Flaris.,Makikita mo ang Mothbee na lumilipad sa pagitan ng Northern Saint City at Flaris.
PROPQUEST_REQUESTBOX_INC_010003,You don't want to help? That's okay. We'll find somebody else.,Ayaw mo bang tumulong? Ayos lang. Hahanapan namin ng iba.
PROPQUEST_REQUESTBOX_INC_010004,You haven't finished the task yet.,Hindi mo pa natatapos ang gawain.
PROPQUEST_REQUESTBOX_INC_010005,Mutated Aibatts,Mutated Aibatts
PROPQUEST_REQUESTBOX_INC_010006,Tina has reported a new kind of Masquerpet called Zendros. Please could you kill 15 of them?,Iniulat ni Tina ang bagong uri ng Masquerpet na tinatawag na Zendros. Puwede mo bang patayin ang 15 sa kanila?
PROPQUEST_REQUESTBOX_INC_010007,You can find Zendros flying between Flaris and Saint morning continents.,Makikita mo ang Zendros na lumilipad sa pagitan ng Flaris at Saint Morning continents.
PROPQUEST_REQUESTBOX_INC_010008,Dragonflies,Dragonflies
PROPQUEST_REQUESTBOX_INC_010009,Tina asked for help with reducing the Neparuba population as they're causing problems with transport. Could you kill 15 of them?,Hiningi ni Tina ang tulong para bawasan ang populasyon ng Neparuba dahil nagdudulot sila ng problema sa transportasyon. Puwede mo bang patayin ang 15 sa kanila?
PROPQUEST_REQUESTBOX_INC_010010,You can find Neparuba flying between Flaris and Saint morning continents.,Makikita mo ang Neparuba na lumilipad sa pagitan ng Flaris at Saint Morning continents.
PROPQUEST_REQUESTBOX_INC_010011,Flybrigen Brigade,Flybrigen Brigade
PROPQUEST_REQUESTBOX_INC_010012,Tina asked for help with reducing the Flybrigen population as they're causing problems with transport. Could you kill 15 of them?,Hiningi ni Tina ang tulong para bawasan ang populasyon ng Flybrigen dahil nagdudulot sila ng problema sa transportasyon. Puwede mo bang patayin ang 15 sa kanila?
